antartida	277,533,277,638,373,638,373,533
	228,700,276,704,270,719,250,727,221,714
tierradelfuego	120,745,124,789,154,794,172,784,137,774,129,752
santacruz	47,598,116,598,135,618,151,621,145,640,122,659,121,681,104,693,103,710,118,734,95,727,65,730,56,720,55,699,41,707,30,680,44,663,42,634,52,613
chubut	35,505,152,505,163,510,179,503,180,520,170,512,158,514,165,524,152,531,152,557,147,568,125,575,117,595,48,595,55,582,40,573,54,563,41,556,42,542,36,533,30,512
rionegro	92,405,101,415,125,428,153,432,169,434,177,439,178,464,194,479,155,469,149,476,152,500,36,499,31,488,44,489,65,465,96,435
neuquen	41,485,48,472,59,466,62,457,91,434,89,404,68,395,61,398,39,373,30,391,45,427,35,437,34,449,29,455,32,464,28,480,32,484
lapampa	145,339,178,341,178,433,170,428,142,427,125,423,112,415,102,413,104,405,92,399,88,365,145,366
mendoza	83,362,117,362,119,345,109,328,112,321,101,304,95,280,79,279,69,283,61,278,54,286,44,292,51,316,40,349,45,372,63,393,71,391,88,400
buenosaires	183,324,210,324,229,306,237,306,239,299,269,316,266,321,293,349,289,362,295,372,303,371,302,387,271,419,243,431,199,425,200,471,185,465,182,455
sanluis	102,271,116,275,135,269,146,280,140,295,141,360,122,361,122,344,114,328,118,319,106,303,103,281
sanjuan	45,191,41,198,45,203,38,211,40,237,34,255,30,256,34,272,38,274,39,287,51,287,53,277,63,273,68,281,79,275,90,276,99,275,98,267,105,265,98,253,100,243,84,229,73,221,58,221,59,204,53,196
cordoba	145,216,159,210,178,218,198,224,204,241,197,260,201,274,209,286,189,319,179,319,178,336,146,337,147,310,144,300,150,292,151,275,143,274,138,267,130,264,130,243,136,230,144,224
larioja	48,189,56,179,67,175,77,185,94,188,104,184,111,194,132,225,126,244,126,265,113,270,108,261,103,258,104,240,78,218,61,218,63,203,53,190
catamarca	63,116,102,116,98,123,107,141,117,147,111,157,124,178,134,178,142,216,137,223,128,205,117,197,116,191,104,180,92,184,72,179,72,170,55,173,62,163,72,154
tucuman	117,139,126,139,130,134,140,136,147,138,143,152,136,161,137,170,128,174,123,168,117,160,123,148,118,143
santafe	210,177,257,178,256,196,250,202,248,230,238,253,233,257,227,278,232,292,235,299,226,300,207,319,196,320,213,286,210,277,203,270,202,261,209,236,204,228
entrerios	269,308,272,292,277,291,276,264,284,242,268,228,252,232,246,247,243,257,235,263,231,279,236,291,253,303
sgodelestero	201,221,206,176,205,124,156,125,151,134,149,147,145,158,141,167,140,173,142,186,145,211,161,206
chaco	210,174,261,174,265,160,272,149,211,96,206,91,197,90,196,96,178,120,210,120
salta	132,41,144,42,153,58,161,39,182,38,193,50,194,93,171,121,154,122,147,134,132,131,115,136,102,127,107,120,105,114,67,113,67,97,86,90,89,79,99,91,111,84,137,101,151,99,161,89,156,69,141,67,133,55
jujuy	108,36,103,44,97,45,88,59,93,64,92,75,99,88,105,86,108,79,107,69,113,70,117,77,115,82,125,89,138,98,143,92,146,97,158,89,154,71,139,71,135,60,130,58,130,41
formosa	272,148,278,133,289,121,277,106,255,98,242,86,221,81,208,68,195,51,196,87,209,90
corrientes	282,237,269,224,251,229,258,198,265,166,282,159,297,163,309,161,315,166,319,161,330,181
misiones	323,160,332,178,353,166,373,154,374,140,370,122,355,123,353,140,349,149,334,155,331,162
